Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
corky,NL,2474,250,146.185.253.101,vps.swiftslots.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2017-01-27,SERVERIUS-AS- NL,50673,8700,None
corkytor,FR,1757,2961,92.222.4.102,fenric.corky.me.uk,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2014-10-27,OVH- FR,16276,6930,None
CorneliusLanczos,DE,12975,266,46.165.254.160,tor-exit.marx.wtf,9001,8080,0,0,1,1,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-07-17,LEASEWEB-DE-FRA-10- DE,28753,45800,[2a00:c98:2030:a03e:8::a10]:9001
corona,IN,3485,474,116.203.234.246,static.246.234.203.116.clients.your-server.de,443,None,0,0,1,1,0,1,1,1,1,Tor 0.3.5.8 on Linux,0,0,2018-04-14,HETZNER-AS- DE,24940,14000,None
correcthorsebattery,DE,1005,4,89.247.8.253,i59F708FD.versanet.de,9001,None,0,0,1,0,0,0,1,1,1,Tor 0.4.1.6 on Linux,0,0,2019-09-18,VERSATEL- DE,8881,6610,None
corsair626,RU,494,1656,79.120.85.102,ip-79-120-85-102.bb.netbynet.ru,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.3.3.7 on FreeBSD,0,0,2016-10-02,TI-AS Moscow- Russia- RU,12714,3000,[2001:470:dc64:108::2]:9001
cort,UA,319,9382,91.203.147.165,91.203.147.165,19050,29257,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2017-04-27,GOODNET-AS- UA,45045,936,None
cosimaniehaus,DE,26217,2727,136.243.4.139,static.139.4.243.136.clients.your-server.de,8008,8081,0,0,1,1,0,1,1,1,1,Tor 0.4.1.2-alpha on Linux,0,0,2018-10-07,HETZNER-AS- DE,24940,91700,None
cosmicsurfin,US,1876,122,162.243.185.109,162.243.185.109,9001,None,0,0,1,0,0,1,1,1,0,Tor 0.3.5.8 on Linux,0,0,2016-06-13,DIGITALOCEAN-ASN - DigitalOcean- LLC- US,14061,12400,None
COSMOPOLIS,US,422,41,154.57.3.214,154-57-3-214.enahost.com,9001,80,0,0,1,0,0,1,1,1,1,Tor 0.4.1.6 on Linux,0,0,2016-05-11,COGENT-174 - Cogent Communications- US,174,1250,None
cosmos,CH,10278,1794,81.17.27.132,81.17.27.132,9001,8080,0,1,1,1,0,1,1,1,1,Tor 0.4.0.5 on Linux,0,0,2018-09-19,PLI-AS- CH,51852,29400,None
